Property Type,Year,Month,Available Properties,Total Nights Booked per Property Type,Avg Lead Time per Property Type,Total Available Nights,Occupancy Rate (%)
Monoambiente,2023,12,3.0,50.0,4.2727272727272725,93.0,53.76344086021505
Monoambiente,2024,1,3.0,23.0,1.625,93.0,24.731182795698924
Monoambiente,2024,2,3.0,20.0,23.6,87.0,22.988505747126435
Monoambiente,2024,3,3.0,19.0,3.8,93.0,20.43010752688172
Monoambiente,2024,4,3.0,40.0,9.25,90.0,44.44444444444444
Monoambiente,2024,5,4.0,76.0,4.0,124.0,61.29032258064516
Monoambiente,2024,6,3.0,31.0,5.5,90.0,34.44444444444444
Monoambiente,2024,7,4.0,30.0,4.583333333333333,124.0,24.193548387096776
Monoambiente,2024,8,4.0,38.0,2.6,124.0,30.64516129032258
Monoambiente,2024,9,6.0,69.0,5.277777777777778,180.0,38.333333333333336
Monoambiente,2024,10,4.0,9.0,2.0,124.0,7.258064516129033
Monoambiente,2024,11,2.0,26.0,0.5,60.0,43.333333333333336
Monoambiente,2024,12,5.0,47.0,4.5,155.0,30.32258064516129
Monoambiente,2025,1,2.0,11.0,0.0,62.0,17.741935483870968
Monoambiente,2025,2,0.0,0.0,,28.0,0.0
1 Dormitorio,2022,2,1.0,8.0,1.0,28.0,28.57142857142857
1 Dormitorio,2022,3,1.0,1.0,3.0,31.0,3.225806451612903
1 Dormitorio,2022,4,0.0,0.0,,30.0,0.0
1 Dormitorio,2022,5,0.0,0.0,,31.0,0.0
1 Dormitorio,2022,6,0.0,0.0,,30.0,0.0
1 Dormitorio,2022,7,0.0,0.0,,31.0,0.0
1 Dormitorio,2022,8,0.0,0.0,,31.0,0.0
1 Dormitorio,2022,9,1.0,16.0,2.3333333333333335,30.0,53.333333333333336
1 Dormitorio,2022,10,1.0,26.0,6.333333333333333,31.0,83.87096774193549
1 Dormitorio,2022,11,1.0,2.0,0.5,30.0,6.666666666666667
1 Dormitorio,2022,12,1.0,19.0,3.25,31.0,61.29032258064516
1 Dormitorio,2023,1,1.0,2.0,0.0,31.0,6.451612903225806
1 Dormitorio,2023,2,1.0,3.0,3.0,28.0,10.714285714285714
1 Dormitorio,2023,3,0.0,0.0,,31.0,0.0
1 Dormitorio,2023,4,0.0,0.0,,30.0,0.0
1 Dormitorio,2023,5,0.0,0.0,,31.0,0.0
1 Dormitorio,2023,6,0.0,0.0,,30.0,0.0
1 Dormitorio,2023,7,0.0,0.0,,31.0,0.0
1 Dormitorio,2023,8,0.0,0.0,,31.0,0.0
1 Dormitorio,2023,9,0.0,0.0,,30.0,0.0
1 Dormitorio,2023,10,0.0,0.0,,31.0,0.0
1 Dormitorio,2023,11,0.0,0.0,,30.0,0.0
1 Dormitorio,2023,12,1.0,3.0,2.5,31.0,9.67741935483871
1 Dormitorio,2024,1,1.0,13.0,0.6666666666666666,31.0,41.935483870967744
1 Dormitorio,2024,2,2.0,19.0,1.0,58.0,32.758620689655174
1 Dormitorio,2024,3,2.0,10.0,4.333333333333333,62.0,16.129032258064516
1 Dormitorio,2024,4,2.0,6.0,7.5,60.0,10.0
1 Dormitorio,2024,5,1.0,1.0,0.0,31.0,3.225806451612903
1 Dormitorio,2024,6,2.0,15.0,0.0,60.0,25.0
1 Dormitorio,2024,7,2.0,43.0,1.25,62.0,69.35483870967742
1 Dormitorio,2024,8,2.0,45.0,0.125,62.0,72.58064516129032
1 Dormitorio,2024,9,2.0,16.0,0.75,60.0,26.666666666666668
1 Dormitorio,2024,10,1.0,14.0,1.0,31.0,45.16129032258064
1 Dormitorio,2024,11,1.0,19.0,0.2,30.0,63.33333333333333
1 Dormitorio,2024,12,2.0,21.0,3.5714285714285716,62.0,33.87096774193548
1 Dormitorio,2025,1,1.0,16.0,7.0,31.0,51.61290322580645
1 Dormitorio,2025,2,0.0,0.0,,28.0,0.0
3 Dormitorios,2024,12,1.0,5.0,9.5,31.0,16.129032258064516
3 Dormitorios,2025,1,1.0,10.0,10.0,31.0,32.25806451612903
3 Dormitorios,2025,2,0.0,0.0,,28.0,0.0
Senior Suite,2024,1,1.0,1.0,0.0,31.0,3.225806451612903
Senior Suite,2024,2,1.0,3.0,29.0,29.0,10.344827586206897
Senior Suite,2024,3,0.0,0.0,,31.0,0.0
Senior Suite,2024,4,0.0,0.0,,30.0,0.0
Senior Suite,2024,5,0.0,0.0,,31.0,0.0
Senior Suite,2024,6,0.0,0.0,,30.0,0.0
Senior Suite,2024,7,1.0,3.0,1.0,31.0,9.67741935483871
Senior Suite,2024,8,1.0,6.0,6.5,31.0,19.35483870967742
Senior Suite,2024,9,0.0,0.0,,30.0,0.0
Senior Suite,2024,10,0.0,0.0,,31.0,0.0
Senior Suite,2024,11,0.0,0.0,,30.0,0.0
Senior Suite,2024,12,0.0,0.0,,31.0,0.0
Senior Suite,2025,1,0.0,0.0,,31.0,0.0
Senior Suite,2025,2,0.0,0.0,,28.0,0.0
