Property Type,Month,Year,Total Nights Booked per Property Type,Avg Lead Time per Property Type,Total Available Nights,Occupancy Rate (%)
1 Dormitorio,1,2023,2,0.0,31,6.451612903225806
1 Dormitorio,1,2024,13,0.6666666666666666,31,41.935483870967744
1 Dormitorio,1,2025,34,7.0,31,109.6774193548387
1 Dormitorio,2,2022,8,1.0,29,27.586206896551722
1 Dormitorio,2,2023,3,3.0,29,10.344827586206897
1 Dormitorio,2,2024,19,1.0,29,65.51724137931035
1 Dormitorio,2,2025,18,2.0,29,62.06896551724138
1 Dormitorio,3,2022,1,3.0,31,3.225806451612903
1 Dormitorio,3,2024,10,4.333333333333333,31,32.25806451612903
1 Dormitorio,4,2024,6,7.5,30,20.0
1 Dormitorio,5,2024,1,0.0,31,3.225806451612903
1 Dormitorio,6,2024,15,0.0,30,50.0
1 Dormitorio,7,2024,43,1.25,31,138.70967741935485
1 Dormitorio,8,2024,45,0.125,31,145.16129032258064
1 Dormitorio,9,2022,16,2.3333333333333335,30,53.333333333333336
1 Dormitorio,9,2024,16,0.75,30,53.333333333333336
1 Dormitorio,10,2022,26,6.333333333333333,31,83.87096774193549
1 Dormitorio,10,2024,14,1.0,31,45.16129032258064
1 Dormitorio,11,2022,2,0.5,30,6.666666666666667
1 Dormitorio,11,2024,19,0.2,30,63.33333333333333
1 Dormitorio,12,2022,19,3.25,31,61.29032258064516
1 Dormitorio,12,2023,3,2.5,31,9.67741935483871
1 Dormitorio,12,2024,21,3.5714285714285716,31,67.74193548387096
3 Dormitorios,1,2025,24,13.5,31,77.41935483870968
3 Dormitorios,2,2025,13,26.666666666666668,29,44.827586206896555
3 Dormitorios,3,2025,4,3.5,31,12.903225806451612
3 Dormitorios,12,2024,5,9.5,31,16.129032258064516
Monoambiente,1,2024,23,1.625,31,74.19354838709677
Monoambiente,1,2025,66,0.0,31,212.9032258064516
Monoambiente,2,2024,20,23.6,29,68.96551724137932
Monoambiente,2,2025,83,5.3,29,286.2068965517241
Monoambiente,3,2024,19,3.8,31,61.29032258064516
Monoambiente,3,2025,16,6.5,31,51.61290322580645
Monoambiente,4,2024,40,9.25,30,133.33333333333331
Monoambiente,5,2024,76,4.0,31,245.16129032258064
Monoambiente,6,2024,31,5.5,30,103.33333333333334
Monoambiente,7,2024,30,4.583333333333333,31,96.7741935483871
Monoambiente,8,2024,38,2.6,31,122.58064516129032
Monoambiente,9,2024,69,5.277777777777778,30,229.99999999999997
Monoambiente,10,2024,9,2.0,31,29.03225806451613
Monoambiente,11,2024,26,0.5,30,86.66666666666667
Monoambiente,12,2023,50,4.2727272727272725,31,161.29032258064515
Monoambiente,12,2024,47,4.5,31,151.61290322580646
Senior Suite,1,2024,1,0.0,31,3.225806451612903
Senior Suite,2,2024,3,29.0,29,10.344827586206897
Senior Suite,7,2024,3,1.0,31,9.67741935483871
Senior Suite,8,2024,6,6.5,31,19.35483870967742
